id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000148143.11	9.65	7.97	9.17	14.15	11.09	1.54	3.52	3.34	6.63	7.80	7.12
ENSG00000148153.12	9.21	3.43	11.62	12.48	16.33	11.07	5.28	5.88	14.38	13.71	9.30
ENSG00000148154.8	7.79	8.10	29.58	10.89	20.41	17.53	5.18	8.11	28.02	3.13	2.20
ENSG00000148158.15	1.87	2.18	4.90	2.72	4.31	2.49	2.39	3.28	3.12	1.63	2.23
ENSG00000148175.11	60.67	113.06	0.91	42.03	16.20	13.82	123.21	55.41	22.38	58.99	13.06
ENSG00000148180.15	83.06	91.61	17.37	81.31	11.89	20.67	22.44	140.56	23.44	98.47	132.22
ENSG00000148187.16	66.67	67.02	53.84	30.72	45.31	22.02	49.48	29.38	38.95	22.37	8.57
ENSG00000148200.15	0.77	1.09	2.65	0.71	0.95	0.91	0.52	0.56	0.64	1.10	0.78
ENSG00000148218.14	12.99	20.56	10.45	11.10	16.80	18.81	9.79	9.11	12.92	11.63	17.63
ENSG00000148219.15	0.61	0.39	2.77	7.09	5.12	2.20	0.27	2.73	0.45	0.12	2.68
ENSG00000148225.14	1.26	2.05	0.22	1.44	3.80	0.55	0.66	1.11	0.45	0.66	3.08
ENSG00000148229.11	57.98	26.63	93.88	38.36	99.35	52.54	51.99	42.40	70.22	53.85	34.70
ENSG00000148248.12	122.86	60.65	187.77	134.07	228.57	151.76	114.54	130.23	150.97	141.75	167.24
ENSG00000148288.10	1.07	0.00	0.00	0.05	0.38	0.12	0.00	0.00	1.39	0.29	0.00
ENSG00000148290.8	21.96	18.15	11.72	26.20	31.47	15.34	16.90	26.54	13.91	46.30	45.01
ENSG00000148291.8	51.52	24.67	37.55	26.30	48.41	84.30	40.01	51.64	45.75	135.97	70.58
ENSG00000148296.6	20.25	9.89	33.19	11.21	16.15	43.99	15.45	21.54	19.49	42.58	41.60
ENSG00000148297.14	19.86	14.17	43.73	15.15	25.42	35.77	16.02	21.12	23.24	24.62	26.33
ENSG00000148300.10	24.14	16.13	34.48	15.59	37.53	35.73	18.68	20.72	22.85	57.84	35.21
ENSG00000148303.15	2091.01	2501.03	1974.41	1868.56	1345.75	1137.59	1909.19	2386.86	1716.13	3054.13	1380.91
ENSG00000148308.16	57.55	30.12	57.50	55.30	70.80	62.86	37.95	34.69	53.93	86.69	62.91
ENSG00000148331.10	17.89	12.21	28.10	9.57	16.47	24.82	13.16	27.96	22.05	26.82	22.72
ENSG00000148334.13	95.43	70.40	111.42	47.79	78.78	126.02	94.95	96.65	98.80	115.98	114.11
ENSG00000148335.13	71.03	18.93	120.82	55.29	88.87	91.13	52.75	46.14	70.47	113.85	96.20
ENSG00000148337.18	88.64	55.19	126.57	64.50	146.36	108.46	87.65	65.99	122.10	99.95	279.40
ENSG00000148339.11	5.76	2.43	12.51	3.62	19.82	12.69	6.24	6.18	12.81	12.03	11.24
ENSG00000148341.16	65.12	70.66	70.82	26.90	24.10	37.79	56.29	82.35	129.80	36.26	67.31
ENSG00000148343.17	26.60	15.63	31.74	6.96	18.35	15.69	17.60	14.72	18.59	11.74	15.99
ENSG00000148344.10	523.22	242.98	0.20	1.95	5.95	9.58	377.69	526.74	4.71	276.77	0.37
ENSG00000148346.10	4.33	330.22	0.17	0.35	0.00	0.00	4.94	220.71	0.24	58.52	1.12
ENSG00000148356.12	6.46	13.83	6.07	5.82	4.33	10.51	5.82	5.78	9.85	9.80	18.83
ENSG00000148358.18	10.28	15.01	17.68	26.53	30.60	16.80	12.52	9.68	13.77	12.69	9.29
ENSG00000148362.9	64.01	24.54	79.94	20.12	39.04	63.11	51.67	58.93	123.12	85.91	82.56
ENSG00000148384.11	8.50	4.65	17.75	3.50	8.89	7.62	9.65	11.19	14.18	4.63	18.83
ENSG00000148396.17	33.39	21.23	24.20	25.49	30.06	19.26	23.34	16.69	30.00	33.21	35.51
ENSG00000148399.10	26.99	20.70	45.27	18.79	37.75	20.90	29.82	29.08	39.01	29.78	45.25
ENSG00000148400.9	58.48	95.29	7.59	3.52	4.18	8.71	22.44	6.73	12.30	48.39	11.58
ENSG00000148411.6	6.90	3.99	6.52	4.19	8.42	5.51	7.10	9.22	10.88	11.95	10.52
ENSG00000148426.11	49.86	22.08	2.36	0.26	1.07	3.93	22.97	26.33	8.37	28.83	2.53
ENSG00000148429.13	5.50	6.61	8.14	2.60	13.87	2.63	6.03	3.75	7.17	2.99	3.96
ENSG00000148444.14	24.17	26.66	30.88	14.38	17.91	9.20	29.10	43.45	39.04	3.30	5.25
ENSG00000148450.11	16.48	14.61	10.19	6.99	16.38	1.52	11.06	15.98	6.50	4.04	22.47
ENSG00000148459.14	16.80	5.35	19.11	8.18	25.13	6.87	18.38	8.78	16.02	12.16	2.51
ENSG00000148468.15	7.49	0.24	31.33	2.65	18.95	12.57	12.48	19.32	16.58	7.17	0.49
ENSG00000148481.12	5.37	5.07	8.93	5.04	16.51	5.81	6.55	7.27	6.66	2.59	2.18
ENSG00000148484.16	44.84	35.30	140.59	31.95	70.94	40.95	51.25	60.13	44.59	45.48	44.46
ENSG00000148498.14	14.71	16.71	17.25	48.98	29.32	9.82	13.69	24.20	13.12	9.08	13.50
ENSG00000148516.20	0.27	0.00	12.08	30.39	23.09	15.44	0.69	4.89	11.50	1.01	27.54
ENSG00000148541.11	0.68	1.25	2.62	0.00	5.59	0.00	0.20	0.00	0.36	0.07	0.79
ENSG00000148572.13	8.02	10.15	12.97	9.13	10.02	3.34	7.66	9.51	13.37	13.60	6.00
ENSG00000148600.13	0.05	22.91	0.00	0.03	0.16	0.00	0.00	0.00	0.00	0.11	0.53
ENSG00000148606.11	10.05	5.24	9.93	9.97	16.34	6.49	9.06	9.81	8.53	20.76	34.79
ENSG00000148634.14	14.01	12.83	32.29	14.30	13.34	15.57	15.94	17.44	23.03	15.63	16.55
ENSG00000148655.13	0.00	0.39	3.62	0.00	3.04	0.00	0.00	0.00	4.47	2.21	0.00
ENSG00000148660.19	39.09	52.73	24.35	13.63	27.25	32.25	11.22	19.88	33.66	25.68	26.76
ENSG00000148671.12	259.04	620.51	0.52	0.00	2.92	0.46	175.49	356.72	0.62	136.37	1.05
ENSG00000148672.8	82.70	160.63	69.65	59.11	50.35	29.50	195.56	65.79	95.87	105.99	28.66
ENSG00000148677.6	0.07	0.39	2.68	0.11	0.14	1.26	0.39	0.49	145.56	0.00	0.55
ENSG00000148680.14	5.06	2.09	0.09	0.56	0.21	2.55	4.42	2.96	5.15	4.84	0.31
ENSG00000148688.12	32.81	17.56	51.19	21.58	23.80	14.49	24.83	18.19	64.07	44.98	15.32
ENSG00000148690.11	1.28	1.57	7.48	5.04	3.88	1.99	2.38	2.20	4.29	2.53	8.14
ENSG00000148700.12	11.09	7.99	5.14	15.56	10.37	10.49	10.05	9.20	6.40	1.00	3.57
ENSG00000148719.13	60.27	34.46	26.85	9.98	30.45	41.15	42.64	39.74	32.38	82.93	44.53
ENSG00000148730.6	12.80	16.65	26.10	12.39	13.30	10.88	15.49	11.28	22.85	10.28	4.79
ENSG00000148735.13	0.05	0.00	0.02	1.01	0.00	0.00	0.00	0.11	0.00	0.00	0.08
ENSG00000148737.14	20.28	10.61	12.70	5.58	15.11	6.02	12.85	26.24	16.96	18.27	70.31
ENSG00000148773.11	36.80	8.39	23.46	181.95	49.23	33.27	29.07	5.15	43.96	52.26	12.52
ENSG00000148803.10	5.01	9.88	30.75	13.46	15.09	6.45	18.79	31.57	0.00	1.05	33.68
ENSG00000148814.16	2.89	6.77	2.99	3.84	8.60	1.72	1.78	2.47	3.44	1.75	11.34
ENSG00000148824.17	38.29	41.86	27.52	28.96	89.97	24.82	32.57	49.98	31.16	52.60	62.34
ENSG00000148832.13	3.47	3.63	4.73	1.74	2.04	3.02	0.25	2.55	0.00	0.99	11.49
ENSG00000148834.11	135.52	50.48	111.72	69.63	40.23	65.68	122.68	182.18	184.34	130.62	37.56
ENSG00000148835.10	2.37	0.62	3.59	4.65	1.42	2.89	2.60	1.12	9.28	1.95	0.83
ENSG00000148840.9	34.11	13.67	55.62	18.41	24.24	41.78	32.28	24.28	41.58	51.32	60.42
ENSG00000148841.14	11.11	23.63	18.58	8.30	4.90	33.86	13.53	28.03	20.89	25.10	77.12
ENSG00000148842.16	1.42	2.47	3.08	1.09	1.66	4.45	2.00	1.68	3.46	1.34	11.12
ENSG00000148843.12	21.74	11.75	26.20	66.11	23.35	49.72	23.12	20.55	29.23	56.33	79.38
ENSG00000148848.13	1.69	0.15	49.57	122.70	123.64	55.97	0.70	11.07	0.19	5.15	70.65
ENSG00000148908.13	27.46	21.65	19.21	21.92	13.64	10.21	36.30	35.67	37.14	39.29	35.93
ENSG00000148925.9	22.10	20.90	12.60	15.37	13.16	12.96	24.30	19.25	30.62	4.91	3.67
ENSG00000148926.8	29.86	105.62	166.56	4.93	8.39	179.87	17.40	51.72	15.76	16.55	17.35
ENSG00000148943.10	4.75	5.06	8.07	6.15	7.78	5.04	9.48	6.66	12.73	2.74	1.72
ENSG00000148950.8	20.88	10.30	15.73	17.04	24.82	6.47	19.87	6.77	13.70	3.66	16.87
ENSG00000148965.7	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.92	0.00	1.14	0.00
ENSG00000148985.18	43.41	40.73	22.93	19.30	6.94	11.92	32.22	30.90	13.54	24.69	31.42
ENSG00000149016.14	13.46	13.92	9.68	6.71	15.52	13.31	9.87	8.42	4.29	13.84	22.76
ENSG00000149021.5	0.00	12.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000149043.15	302.07	273.55	0.04	0.00	0.00	0.06	178.65	27.32	0.85	128.17	1.83
ENSG00000149050.8	2.24	2.25	0.00	0.59	1.22	0.07	0.45	0.65	0.18	0.00	0.61
ENSG00000149054.13	2.99	0.86	0.00	0.24	2.21	0.53	3.57	1.50	2.91	1.76	0.91
ENSG00000149084.10	80.66	46.52	12.70	28.05	32.52	13.78	71.15	64.26	81.65	9.43	12.43
ENSG00000149089.11	8.98	5.21	14.92	22.82	14.84	20.74	17.63	11.01	24.55	4.27	14.40
ENSG00000149091.14	66.20	39.07	60.58	25.14	61.64	60.52	74.40	52.98	80.17	50.65	90.98
ENSG00000149100.11	236.67	184.92	201.90	164.19	141.07	123.05	389.30	221.54	297.75	151.43	178.14
ENSG00000149115.12	60.02	99.35	43.44	44.81	39.18	29.65	61.03	73.98	21.36	56.23	70.71
ENSG00000149131.14	0.36	0.00	0.06	0.30	3.09	1.81	2.50	1.11	0.19	0.24	2.30
ENSG00000149136.6	141.16	54.28	149.84	253.80	185.60	141.77	145.60	78.58	201.14	105.76	106.48
ENSG00000149150.7	0.13	0.03	2.44	2.29	1.46	2.38	0.80	0.68	9.38	5.50	4.06
ENSG00000149177.11	1.79	0.26	11.53	6.59	18.46	6.07	0.69	5.11	19.89	0.32	3.87
ENSG00000149179.12	35.39	19.94	19.99	6.98	11.81	10.71	34.33	19.51	18.24	13.38	31.91
ENSG00000149182.13	41.86	37.23	35.67	26.04	62.31	35.44	44.82	39.25	47.75	45.60	49.36
ENSG00000149187.16	48.35	34.16	64.37	34.49	87.03	33.69	52.58	29.13	31.72	40.38	64.67
ENSG00000149196.14	45.03	64.85	37.28	28.29	38.77	15.03	39.00	13.71	15.47	18.16	23.47
ENSG00000149201.8	0.14	0.36	0.39	0.46	0.09	1.38	0.04	0.00	0.26	0.00	0.12
ENSG00000149212.9	2.10	8.64	0.41	12.74	0.22	0.08	0.41	0.01	1.39	0.00	0.25
ENSG00000149218.4	16.59	20.52	5.43	10.27	17.24	12.48	10.51	7.54	3.63	4.62	3.39
ENSG00000149231.10	3.37	3.13	11.12	11.52	25.16	9.07	5.52	5.47	15.49	1.22	0.85
ENSG00000149243.14	0.09	3.68	0.02	4.22	2.54	0.12	0.51	2.69	0.22	0.73	9.07
ENSG00000149256.13	9.94	2.38	0.00	0.02	0.00	1.44	1.63	0.00	0.10	1.97	0.03
ENSG00000149257.12	206.15	103.80	534.26	270.06	108.37	344.74	135.25	44.85	102.27	96.54	463.98
ENSG00000149260.13	4.67	0.17	9.95	4.43	6.58	11.73	0.26	11.06	10.47	0.50	5.83
ENSG00000149262.15	12.16	6.89	10.94	14.86	14.93	14.79	14.07	11.77	13.33	7.26	10.13
ENSG00000149269.8	24.02	17.18	15.70	23.08	23.31	21.87	29.48	27.99	23.34	35.54	3.03
ENSG00000149273.13	2272.71	2540.90	1617.13	1130.11	1052.76	1593.28	2529.58	2366.50	1894.82	4097.35	2324.74
ENSG00000149289.9	5.75	2.56	3.75	0.05	2.08	2.47	12.68	12.58	5.96	3.09	1.97
ENSG00000149292.15	13.85	11.16	4.47	10.37	4.94	2.26	13.34	7.93	13.05	9.94	7.51
ENSG00000149294.15	0.02	0.07	8.49	1.09	0.51	0.15	0.01	0.00	0.00	0.23	21.63
ENSG00000149295.12	11.91	0.64	0.00	1.08	2.71	1.72	0.51	0.29	0.00	0.59	0.55
ENSG00000149300.8	2.49	7.59	0.00	0.00	0.00	0.00	4.68	2.78	0.08	1.03	0.51
ENSG00000149308.15	2.61	0.99	7.67	6.86	4.94	4.26	3.46	2.24	5.11	0.59	0.75
ENSG00000149311.16	5.38	2.41	7.59	11.13	9.30	6.12	5.68	1.52	7.36	2.21	12.65
ENSG00000149313.9	23.20	5.51	25.72	15.63	15.35	12.08	19.40	7.22	13.51	16.65	23.66
ENSG00000149328.13	17.21	2.21	0.00	2.54	0.69	0.01	10.55	5.19	0.07	7.24	1.56
ENSG00000149346.13	2.27	2.82	2.06	2.81	3.33	0.52	1.68	0.92	1.35	0.76	1.40
ENSG00000149357.8	245.10	305.92	158.33	46.26	88.37	130.05	149.04	177.50	145.52	106.47	135.14
ENSG00000149380.10	0.11	0.16	21.10	5.80	1.05	0.94	0.11	4.25	0.08	0.36	6.93
ENSG00000149418.9	33.52	50.36	0.29	0.02	0.23	0.16	66.19	89.31	0.37	24.07	0.45
ENSG00000149428.17	74.63	28.98	107.54	66.34	116.21	52.66	73.17	66.26	98.26	75.36	81.34
ENSG00000149451.16	0.00	0.00	0.04	0.03	5.09	0.03	0.00	0.00	0.00	0.00	0.00
ENSG00000149474.12	15.66	24.39	15.66	5.14	10.98	6.21	9.31	4.70	6.51	9.37	6.38
ENSG00000149476.13	70.86	124.35	21.79	32.21	20.63	22.63	22.22	42.63	26.78	18.96	42.09
ENSG00000149480.5	93.79	109.91	77.22	33.84	85.85	79.54	111.45	64.24	100.13	71.27	63.20
ENSG00000149483.10	35.22	50.79	81.69	45.45	59.84	37.73	49.58	26.57	62.83	22.44	21.19
ENSG00000149485.15	71.73	5.42	31.13	60.42	39.38	46.24	15.65	30.29	62.58	27.98	71.73
ENSG00000149489.7	7.92	3.67	5.82	5.23	5.94	4.34	2.39	1.55	2.75	1.95	4.97
ENSG00000149499.10	44.36	48.55	23.21	19.52	23.17	32.42	40.05	30.69	29.55	26.00	45.34
ENSG00000149503.11	57.04	38.71	48.84	103.60	55.09	53.47	56.95	14.95	84.14	47.58	29.62
ENSG00000149527.16	62.29	59.71	0.04	0.02	0.02	0.29	25.59	0.05	0.80	9.66	0.42
ENSG00000149531.13	11.84	8.50	1.20	4.10	17.58	20.60	9.35	8.21	6.50	2.01	1.56
ENSG00000149532.14	51.52	65.71	65.19	70.95	67.52	45.46	57.08	45.55	66.34	44.18	52.60
ENSG00000149541.8	24.16	38.04	44.54	15.19	15.77	48.43	23.44	44.00	37.35	19.93	94.43
ENSG00000149547.13	150.73	48.19	115.27	73.18	35.90	59.06	154.85	111.79	92.59	57.09	11.93
ENSG00000149548.13	0.96	0.28	1.34	2.88	1.00	2.75	1.21	0.63	1.80	0.20	0.13
ENSG00000149554.11	26.74	4.25	30.62	42.80	14.60	20.45	36.14	20.32	34.13	9.84	5.70
ENSG00000149557.11	25.54	0.80	0.00	0.31	1.80	1.23	7.56	0.12	0.00	20.46	0.90
ENSG00000149564.10	0.11	0.13	0.44	0.04	0.00	1.50	0.20	0.32	58.27	0.00	0.40
ENSG00000149571.9	2.91	0.00	0.84	0.55	0.02	4.91	0.24	0.49	0.84	0.00	0.00
ENSG00000149573.7	56.49	63.11	0.00	0.00	0.27	0.05	49.24	12.35	1.33	41.32	0.00
ENSG00000149577.14	11.29	10.66	13.44	12.32	5.77	15.28	8.42	11.48	6.48	4.18	39.97
ENSG00000149582.14	32.27	9.92	16.00	1.80	5.55	4.17	0.88	1.68	7.36	1.41	0.66
ENSG00000149591.15	2.28	32.48	1424.83	22.78	2.41	453.71	110.38	3.92	28.98	26.92	11.59
ENSG00000149596.6	4.11	4.89	16.88	1.17	2.15	4.79	6.28	3.95	0.02	6.84	0.02
ENSG00000149599.14	2.20	0.00	0.12	1.13	1.02	7.51	0.00	0.00	0.25	0.00	0.34
ENSG00000149600.10	35.85	26.07	26.01	24.58	19.59	36.30	38.56	29.62	36.26	15.63	9.21
ENSG00000149634.4	0.86	1.77	0.84	1.15	0.98	1.12	0.13	0.49	0.80	0.36	2.70
ENSG00000149636.14	26.52	10.60	37.54	32.35	31.44	19.70	15.22	8.52	23.24	11.18	7.28
ENSG00000149639.13	10.38	10.55	14.57	17.23	14.95	22.60	9.87	3.40	11.54	7.19	32.82
ENSG00000149646.11	6.79	31.80	3.08	4.63	2.65	2.81	5.02	1.47	2.16	2.98	2.40
ENSG00000149657.18	30.18	23.29	51.62	40.02	29.88	42.21	25.93	22.33	35.77	24.76	93.54
ENSG00000149658.16	35.32	22.65	46.07	29.05	40.68	26.90	33.09	23.20	39.97	34.83	47.43
ENSG00000149679.10	9.00	3.01	15.47	10.61	10.56	6.93	4.54	3.11	12.24	3.03	4.88
ENSG00000149716.11	18.79	14.59	14.87	50.30	16.52	12.09	16.36	13.34	21.19	8.72	23.37
ENSG00000149743.12	45.13	70.05	19.74	42.59	17.08	28.63	28.82	43.06	29.06	14.94	39.71
ENSG00000149761.7	53.29	115.96	57.98	51.48	19.52	45.90	49.10	65.56	38.98	58.95	79.95
ENSG00000149781.11	0.72	0.00	0.30	1.85	3.02	1.41	0.23	0.50	2.18	0.28	3.39
ENSG00000149782.10	52.48	55.24	23.93	27.74	23.06	27.07	40.65	47.54	44.15	40.62	41.99
ENSG00000149792.7	54.13	33.19	46.82	56.78	47.10	38.37	40.16	32.80	65.42	37.45	44.92
ENSG00000149798.4	19.84	6.48	7.24	5.49	6.95	38.27	18.77	69.08	17.87	13.79	9.04
ENSG00000149806.9	962.00	1013.20	946.73	852.03	625.45	691.39	855.86	1115.16	841.92	883.59	1238.15
ENSG00000149809.13	13.07	13.58	4.89	2.47	3.68	3.46	1.76	2.26	7.63	1.56	17.42
ENSG00000149823.6	67.58	96.12	58.72	73.32	39.55	146.93	116.04	68.45	72.81	104.35	150.87
ENSG00000149922.9	0.75	0.39	0.27	0.77	0.14	0.58	0.19	1.10	0.68	0.19	1.31
ENSG00000149923.12	132.48	98.72	115.00	105.08	96.43	112.99	105.98	127.22	110.93	138.86	224.10
ENSG00000149925.15	1819.88	1630.06	1403.57	1655.71	1267.36	1529.37	1331.56	2109.96	1146.33	1773.63	1869.96
ENSG00000149926.12	1.00	0.53	1.17	1.81	1.47	0.91	0.29	0.53	0.27	0.00	1.08
ENSG00000149927.16	1.29	0.61	0.55	1.24	1.84	0.37	0.08	0.24	1.37	0.06	9.22
ENSG00000149929.14	29.66	12.10	13.02	20.87	12.47	26.57	12.98	8.91	22.89	13.66	24.52
ENSG00000149930.16	26.93	18.96	31.70	26.83	18.42	33.76	14.83	19.14	16.68	12.85	55.73
ENSG00000149932.15	67.27	105.73	62.62	86.43	23.49	27.19	52.68	98.60	48.00	39.53	178.95
ENSG00000149948.12	25.18	1.22	1.63	1.89	2.03	31.43	28.61	38.89	27.84	29.95	30.36
ENSG00000149968.10	0.00	0.00	3.76	0.04	0.42	3.55	0.04	0.57	0.85	0.10	0.28
ENSG00000149972.9	0.00	0.00	0.48	0.22	4.92	1.20	0.00	0.00	0.29	0.00	0.00
ENSG00000150054.17	4.24	10.23	0.00	0.21	0.79	0.25	0.50	0.18	0.45	1.57	0.00
ENSG00000150093.17	198.27	222.31	565.76	746.81	419.69	197.05	217.70	253.79	171.21	102.13	319.98
ENSG00000150201.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.35	0.00	0.00	0.36
ENSG00000150275.16	0.10	0.00	0.00	0.00	0.00	1.46	0.06	0.00	0.06	0.15	0.48
ENSG00000150281.6	0.87	1.79	4.15	0.09	0.25	1.65	0.30	1.25	3.53	0.00	7.82
ENSG00000150316.10	27.28	19.61	38.57	34.02	66.19	12.19	28.03	25.87	28.05	12.55	4.18
ENSG00000150347.13	3.13	3.72	23.08	4.40	9.35	8.56	1.06	4.57	2.62	3.59	3.57
ENSG00000150394.12	1.61	4.79	1.13	10.35	18.38	13.78	2.06	2.20	0.00	1.39	17.12
ENSG00000150401.13	13.25	6.82	15.29	7.70	11.29	7.64	11.48	7.42	7.65	12.30	6.33
ENSG00000150403.16	22.92	30.87	33.06	22.68	23.59	23.71	35.03	29.75	17.23	31.08	32.09
ENSG00000150433.8	11.14	6.95	12.35	11.21	4.65	7.81	12.82	16.71	9.39	2.53	4.99
ENSG00000150455.12	5.34	1.02	7.09	4.01	1.73	4.64	9.06	4.25	4.20	5.65	3.18
ENSG00000150456.9	4.41	4.66	18.39	8.78	5.62	1.85	15.86	10.01	3.83	7.27	2.37
ENSG00000150457.8	6.49	5.32	16.87	2.80	8.49	4.74	7.20	6.33	12.25	6.54	28.68
ENSG00000150459.11	71.44	52.75	148.43	126.98	84.04	33.91	92.52	147.38	80.19	51.15	50.74
ENSG00000150477.13	4.94	3.91	5.80	35.50	23.44	13.60	4.46	4.78	7.52	0.53	0.83
ENSG00000150510.14	0.61	0.28	0.43	0.06	0.37	0.78	1.21	0.08	0.69	1.59	1.50
ENSG00000150527.15	5.32	14.65	3.17	7.99	9.08	3.16	9.16	11.54	9.22	5.04	3.73
ENSG00000150540.12	0.00	0.00	0.00	0.47	2.46	1.11	0.16	0.89	19.96	0.00	0.00
ENSG00000150551.10	0.32	0.00	0.09	7.41	0.80	0.52	0.00	1.06	0.00	0.19	0.00
ENSG00000150556.15	2.74	9.40	0.06	0.00	2.64	0.06	0.24	0.00	0.00	1.44	0.00
ENSG00000150593.14	41.84	178.15	9.31	85.74	18.95	7.29	63.36	11.10	114.14	70.42	32.64
ENSG00000150625.15	0.00	0.00	0.30	0.00	0.00	0.00	0.41	0.27	3.67	0.00	0.29
ENSG00000150627.14	0.91	0.76	0.59	0.21	0.05	1.33	0.60	0.13	0.82	0.12	0.55
ENSG00000150628.5	0.06	0.00	0.00	0.00	0.00	0.30	0.00	2.32	0.00	0.20	0.10
ENSG00000150630.3	18.02	4.20	12.73	11.46	2.05	15.25	8.24	35.23	13.35	5.98	41.24
ENSG00000150636.14	0.26	0.54	1.53	1.67	0.68	1.13	0.31	0.85	0.96	0.93	1.98
ENSG00000150667.6	0.33	0.13	0.14	0.08	0.16	0.18	1.28	0.20	0.08	0.22	0.00
ENSG00000150687.10	77.98	16.42	159.97	83.32	200.29	146.70	0.42	39.12	148.93	14.67	35.37
ENSG00000150712.9	6.80	4.53	15.79	13.83	6.69	10.14	9.39	9.53	15.11	5.08	5.98
ENSG00000150722.9	0.00	0.00	0.00	0.00	0.55	0.56	0.51	0.50	2.64	0.67	0.03
ENSG00000150753.10	402.28	156.14	541.93	619.52	950.31	511.70	350.54	342.71	666.22	453.38	424.47
ENSG00000150756.12	6.44	3.67	11.47	15.02	27.22	14.28	10.87	6.33	8.05	8.38	16.09
ENSG00000150760.11	9.32	4.79	13.52	38.23	15.28	14.38	14.76	12.63	10.96	6.82	20.26
ENSG00000150764.12	5.71	4.91	4.75	5.67	7.86	2.42	9.67	12.81	1.87	6.44	6.31
ENSG00000150768.14	27.83	8.98	27.17	24.74	24.54	13.93	42.75	22.44	40.14	18.32	11.34
ENSG00000150773.9	1.84	0.76	0.59	0.47	1.77	0.27	0.16	0.32	1.06	0.00	0.35
ENSG00000150776.16	10.53	5.99	14.66	12.66	18.00	7.11	12.60	6.51	12.88	2.93	12.92
ENSG00000150779.10	99.94	32.88	127.52	29.91	83.53	56.06	90.69	95.20	55.09	96.04	79.63
ENSG00000150782.10	116.80	90.23	0.11	0.18	0.40	0.00	172.30	75.96	31.10	92.46	3.41
ENSG00000150787.6	25.96	8.39	34.73	26.01	27.76	22.13	35.46	35.19	39.93	26.88	20.75
ENSG00000150867.12	6.19	3.97	23.94	14.17	34.51	12.97	6.55	12.33	18.67	6.49	18.25
ENSG00000150893.10	0.00	0.83	0.00	0.36	0.04	0.01	0.00	0.00	5.55	0.00	0.10
ENSG00000150907.6	2.52	17.24	0.31	2.52	1.27	0.67	8.62	6.39	1.51	5.76	1.81
ENSG00000150938.8	51.58	62.69	91.64	11.62	44.56	109.28	54.51	21.75	66.75	27.86	18.65
ENSG00000150961.13	21.45	6.51	26.05	56.90	20.44	25.54	15.31	32.18	9.77	7.13	18.30
ENSG00000150967.16	6.49	5.16	2.75	7.26	8.68	1.79	2.62	6.60	3.81	8.34	22.00
ENSG00000150977.10	1.96	1.59	1.28	2.85	3.10	5.50	2.97	3.41	5.38	3.81	4.69
ENSG00000150990.6	11.19	8.73	20.90	6.23	22.89	32.94	18.01	16.67	22.29	18.95	46.18
ENSG00000150991.13	517.58	561.70	484.77	573.94	1176.10	517.11	823.89	832.74	487.13	967.34	1068.20
ENSG00000150995.16	2.60	1.12	3.54	10.25	1.99	1.38	0.76	2.76	2.63	0.88	15.95
ENSG00000151006.7	1.68	1.30	4.16	1.63	2.46	2.07	1.49	1.22	0.86	0.32	4.33
ENSG00000151012.12	3.20	1.79	2.32	36.79	17.55	5.13	7.62	7.41	11.19	0.35	2.42
ENSG00000151014.5	9.33	6.00	17.76	12.14	19.09	8.36	5.94	13.61	14.46	11.45	11.59
ENSG00000151025.9	0.00	0.00	1.67	1.39	3.26	0.64	0.00	0.00	2.19	0.00	0.19
ENSG00000151062.13	0.00	0.00	0.00	1.06	0.00	0.36	0.16	0.00	29.75	0.00	0.00
ENSG00000151065.12	4.66	6.79	5.22	5.54	5.42	3.13	3.59	4.66	2.17	4.41	10.46
ENSG00000151067.19	0.00	0.19	6.80	10.01	3.16	7.25	0.00	0.07	0.05	0.00	8.80
ENSG00000151090.16	6.01	6.39	0.40	8.45	1.19	0.36	1.89	4.19	0.47	1.13	0.52
ENSG00000151092.15	6.25	7.93	20.31	16.79	13.82	7.81	8.54	12.97	9.66	8.82	9.15
ENSG00000151093.6	12.86	10.44	9.48	11.52	8.19	5.43	14.42	11.57	14.06	2.31	1.71
ENSG00000151116.15	8.37	8.13	5.30	9.23	12.18	5.04	13.12	9.89	10.60	2.51	3.28
ENSG00000151117.7	1.08	1.74	0.48	0.23	0.18	0.08	0.14	0.30	0.09	0.00	0.55
ENSG00000151131.8	13.46	12.12	19.45	12.54	22.07	8.54	27.61	21.13	45.20	31.85	23.78
ENSG00000151135.8	8.39	8.80	16.66	23.41	33.36	7.25	10.05	11.09	15.64	7.74	20.77
ENSG00000151136.13	2.35	4.55	0.00	1.33	0.30	0.01	1.13	6.85	0.02	1.78	0.60
ENSG00000151148.12	10.09	19.81	13.54	14.30	18.46	9.88	16.51	12.75	18.19	20.39	25.41
